n , time
5,   0
10,  0
100, 15165
150, 26363
200, 34286
220, 25874
250, 34265
300, 47119
330, 51725
370, 60402
400, 63268
440, 61131
480, 71561
500, 73476
550, 85911
600, 99845
680, 101376
730, 111306
750, 121282
800, 126299
